t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.01042571544361092,0.007432731369476187,0.013418699517745651,0.9669862127543533,0,7.0
-0.14500000000000002,0.013374709728230303,0.010039026571361544,0.01671039288509906,0.9230952505634178,0,7.0
-0.125,0.01601019077968725,0.012525655739459402,0.019494725819915095,0.9291805630791266,0,7.0
-0.10500000000000002,0.019470022764343533,0.015654310356187764,0.0232857351724993,0.8262200504772682,0,7.0
-0.08500000000000003,0.02324575173893122,0.019179623698648205,0.027311879779214236,0.6468854325912254,0,7.0
-0.06500000000000004,0.023965895916296616,0.020385418933084383,0.02754637289950885,0.45589196539662535,0,7.0
-0.045000000000000054,0.024638763094273375,0.021192394582924528,0.028085131605622222,0.3032044111451375,0,7.0
-0.025000000000000064,0.025813368152129954,0.022651272262161095,0.028975464042098813,0.11943902569197862,0,7.0
-0.005000000000000074,0.02715600081300417,0.024230409521245496,0.030081592104762845,0.036462643701050235,1,7.0
0.014999999999999916,0.028471207873689668,0.025089541256488525,0.03185287449089081,0.013638321855089841,1,7.0
0.034999999999999906,0.02980257269387353,0.026241208038075274,0.03336393734967179,0.006854453601672361,1,7.0
0.054999999999999896,0.03059464435633452,0.026722327829658613,0.034466960883010433,0.009762523738563234,1,7.0
0.07499999999999989,0.03101888411590873,0.026399744872757435,0.03563802335906002,0.023939206189027007,1,7.0
0.0949999999999999,0.03213907843469691,0.0264787647927081,0.03779939207668573,0.023632726938135895,1,7.0
0.11499999999999987,0.033197715057279,0.027208913623006235,0.03918651649155176,0.014992689619719557,1,7.0
0.13499999999999984,0.03399140886034264,0.027531264890548766,0.04045155283013651,0.011018794250385322,1,7.0
0.15499999999999986,0.034882209015283494,0.027832163606327016,0.04193225442423997,0.007293660266903146,1,7.0
0.17499999999999988,0.035782474878513104,0.028238995694813356,0.04332595406221285,0.003502715454441474,1,7.0
0.19499999999999984,0.036383192929911094,0.028216276101151308,0.04455010975867088,0.0008233101563962508,1,7.0
0.2149999999999998,0.036940639252081374,0.02812476846848845,0.0457565100356743,0.00023884264359586016,1,7.0
0.23499999999999982,0.03648609118679637,0.02737450889591099,0.04559767347768175,8.81377275661066e-05,1,7.0
0.25499999999999984,0.03522161787345935,0.026155101326053073,0.04428813442086563,0.00012861643570893921,1,7.0
0.2749999999999998,0.03397871532621964,0.024618264936205787,0.043339165716233495,0.00043780683616800875,1,7.0
0.29499999999999976,0.03269445474146352,0.023691289701065515,0.041697619781861525,0.0011864748918776202,1,7.0
0.3149999999999998,0.03132257655188136,0.023184960543126198,0.039460192560636514,0.0016106150899773963,1,7.0
0.3349999999999998,0.02981008728211289,0.02278174541694792,0.03683842914727786,0.006958547190419662,1,7.0
0.3549999999999998,0.028510349825243964,0.02188538595215268,0.03513531369833525,0.025539289681050903,1,7.0
0.3749999999999997,0.026667320696412748,0.020486453082427383,0.03284818831039811,0.14628738680910214,0,7.0
0.39499999999999974,0.02595558558663016,0.019822208225934862,0.03208896294732546,0.26459696937871735,0,7.0
0.41499999999999976,0.025670044880935567,0.019586889148531763,0.031753200613339375,0.34887750001532436,0,7.0
0.43499999999999966,0.025532953072356156,0.019099510289051984,0.03196639585566033,0.39316792505886633,0,7.0
0.4549999999999997,0.025893786394996083,0.01915271055404074,0.032634862235951426,0.3592856016346918,0,7.0
0.4749999999999997,0.026025965092337407,0.01984332426028251,0.0322086059243923,0.3302499909283588,0,7.0
0.4949999999999997,0.026138235240588708,0.020121304908325623,0.03215516557285179,0.3151863247236044,0,7.0
0.5149999999999997,0.026138827603560476,0.02074404622065322,0.03153360898646773,0.3512387716053038,0,7.0
0.5349999999999996,0.027101640367167612,0.022239443659692014,0.03196383707464321,0.19263069006592826,0,7.0
0.5549999999999996,0.028104659197628803,0.023394425055924498,0.03281489333933311,0.11804366487866458,0,7.0
0.5749999999999996,0.028838928276463664,0.023999685601255746,0.03367817095167158,0.05952549367389226,0,7.0
0.5949999999999995,0.02927524973844749,0.024372787179903058,0.03417771229699192,0.03334071231813718,1,7.0
0.6149999999999995,0.029471778526602075,0.02504856886701269,0.03389498818619146,0.02385826340617503,1,7.0
0.6349999999999996,0.0298243390852849,0.026039387235228684,0.03360929093534112,0.01596131803688383,1,7.0
0.6549999999999996,0.02926153473790661,0.02595858441935348,0.03256448505645974,0.027219150490736643,1,7.0
0.6749999999999996,0.02599311590876497,0.022897109496273806,0.029089122321256135,0.025145832399395274,1,7.0
0.6949999999999995,0.022063982304701493,0.019466758178727613,0.024661206430675372,0.03619161462701859,1,7.0
0.7149999999999995,0.018027277915146005,0.01605249465363851,0.020002061176653502,0.07110785029270228,0,7.0
