t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.012835096252953891,0.007172460584581934,0.01849773192132585,0.0016403593580248677,1,11.0
-0.14500000000000002,0.01478768348409404,0.008717315462353653,0.020858051505834425,0.0020105379559786085,1,11.0
-0.125,0.01681203867276991,0.010277362628678028,0.023346714716861793,0.0014999140472707895,1,11.0
-0.10500000000000002,0.018764733329654445,0.011899215042469359,0.02563025161683953,0.0012479562718766823,1,11.0
-0.08500000000000003,0.02086094266694629,0.013748663935970941,0.02797322139792164,0.0006365263776354491,1,11.0
-0.06500000000000004,0.022974083504730503,0.015619608868372709,0.0303285581410883,0.0004239413599386177,1,11.0
-0.045000000000000054,0.022241509389887535,0.015744557461628568,0.028738461318146502,0.0004976345543297178,1,11.0
-0.025000000000000064,0.021855992763670548,0.01601624830016688,0.027695737227174215,0.00044840179297944704,1,11.0
-0.005000000000000074,0.02161799614389946,0.01645163604021431,0.026784356247584608,0.0009795396819870517,1,11.0
0.014999999999999916,0.021967848324714722,0.017097206445254202,0.026838490204175242,0.0019691682108859965,1,11.0
0.034999999999999906,0.023110248374869417,0.018168854736976558,0.028051642012762276,0.0028481000445115257,1,11.0
0.054999999999999896,0.02502940546579874,0.01937335190627162,0.03068545902532586,0.0024408937431714683,1,11.0
0.07499999999999989,0.026884213534516657,0.020697659702813453,0.03307076736621986,0.0011305947701117924,1,11.0
0.0949999999999999,0.028627151181064566,0.022040475048518617,0.035213827313610516,0.0007096718065146002,1,11.0
0.11499999999999987,0.02974886365938327,0.022983547039318493,0.03651418027944805,0.0007645846962719416,1,11.0
0.13499999999999984,0.030605491650443295,0.0236636850630046,0.03754729823788199,0.0012258872949534316,1,11.0
0.15499999999999986,0.03135827062236473,0.02443527957676437,0.03828126166796509,0.001338055158266016,1,11.0
0.17499999999999988,0.03182266090064931,0.025027706594949874,0.038617615206348745,0.0017295202864250347,1,11.0
0.19499999999999984,0.032134480402144276,0.025444981180562973,0.03882397962372558,0.0017678696343865763,1,11.0
0.2149999999999998,0.03188139511174068,0.025340160368423112,0.038422629855058246,0.002367209970520756,1,11.0
0.23499999999999982,0.03132020017682657,0.02473755442546543,0.037902845928187705,0.003600853460707709,1,11.0
0.25499999999999984,0.030653665737734103,0.024094307916474253,0.03721302355899395,0.002741737473659467,1,11.0
0.2749999999999998,0.029755366103873894,0.023291839925082446,0.036218892282665345,0.0037486912370772174,1,11.0
0.29499999999999976,0.02925787928798507,0.02272098470355948,0.03579477387241066,0.003636036924287822,1,11.0
0.3149999999999998,0.029167641509760752,0.0222851814361209,0.0360501015834006,0.0036366566087528973,1,11.0
0.3349999999999998,0.02940625079092165,0.02241384549591176,0.03639865608593154,0.0027511060705774915,1,11.0
0.3549999999999998,0.029526951851877956,0.02262602332313386,0.03642788038062206,0.004885767569056676,1,11.0
0.3749999999999997,0.030056813865179534,0.023002643696775783,0.03711098403358328,0.00827276977173197,1,11.0
0.39499999999999974,0.03029591897551021,0.023002322717478815,0.03758951523354161,0.022217957705329194,1,11.0
0.41499999999999976,0.03089852450282593,0.022973732331160346,0.038823316674491515,0.0450945074806951,0,11.0
0.43499999999999966,0.03153413703829424,0.02258069477842358,0.0404875792981649,0.11341671838109457,0,11.0
0.4549999999999997,0.03298807476564699,0.023234860286001958,0.042741289245292025,0.1373452999082081,0,11.0
0.4749999999999997,0.03479123996788269,0.023947874994682504,0.04563460494108288,0.16277414868297302,0,11.0
0.4949999999999997,0.03671533782571175,0.02445380743538942,0.04897686821603408,0.22624716372995168,0,11.0
0.5149999999999997,0.03889037064335365,0.025141310263105503,0.052639431023601795,0.31851838509120656,0,11.0
0.5349999999999996,0.04132533928790837,0.026325490248594444,0.0563251883272223,0.33451004890763536,0,11.0
0.5549999999999996,0.043907779989057615,0.02739329458800658,0.06042226539010865,0.329004629830721,0,11.0
0.5749999999999996,0.04661302309533199,0.028886356485212893,0.06433968970545109,0.34489417727751104,0,11.0
0.5949999999999995,0.049641984900344154,0.03093130806433555,0.06835266173635277,0.23487528019364978,0,11.0
0.6149999999999995,0.052396165779003655,0.03311680075808217,0.07167553079992514,0.163160186372592,0,11.0
0.6349999999999996,0.05489745414427514,0.03530673709791258,0.07448817119063769,0.1333909405128083,0,11.0
0.6549999999999996,0.050238306533945364,0.032365685505214487,0.06811092756267624,0.13748988380361138,0,11.0
0.6749999999999996,0.045454277708176095,0.02938248845231609,0.061526066964036105,0.15568237973420662,0,11.0
0.6949999999999995,0.04033203436280341,0.026247023987831776,0.05441704473777504,0.172143617421606,0,11.0
0.7149999999999995,0.03502931750777529,0.022962378513044494,0.04709625650250609,0.18890172903172164,0,11.0
