t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.01511025787847754,0.0060325126643893685,0.02418800309256571,1.310236008467136e-06,1,7.0
-0.14500000000000002,0.01823033135483992,0.0071601817518580375,0.029300480957821805,1.3180375872945405e-06,1,7.0
-0.125,0.02147056949557375,0.0085651394159237,0.0343759995752238,8.500535610966864e-07,1,7.0
-0.10500000000000002,0.024624305135543346,0.010257360776387659,0.03899124949469904,3.4249238045624963e-07,1,7.0
-0.08500000000000003,0.027942123048585916,0.01203752394787386,0.04384672214929797,2.2722535752972561e-07,1,7.0
-0.06500000000000004,0.031654271189688075,0.014543917734695891,0.04876462464468026,4.056375180194749e-08,1,7.0
-0.045000000000000054,0.032479621095127045,0.015485347724395412,0.049473894465858675,1.8409434643373856e-08,1,7.0
-0.025000000000000064,0.03355796624653815,0.01666137213022369,0.05045456036285262,2.832611367686866e-09,1,7.0
-0.005000000000000074,0.03456906463385464,0.01791269553665636,0.05122543373105291,5.421649795778194e-10,1,7.0
0.014999999999999916,0.03540582090573217,0.0191406735567549,0.05167096825470943,2.789825037652349e-10,1,7.0
0.034999999999999906,0.036445755144652744,0.02004774126180362,0.05284376902750187,1.749612676960055e-10,1,7.0
0.054999999999999896,0.03717978577416261,0.020636069556216382,0.05372350199210883,1.2379719471766748e-10,1,7.0
0.07499999999999989,0.03769886492280362,0.02125339003452981,0.05414433981107743,4.0934033940231984e-11,1,7.0
0.0949999999999999,0.0379655928515527,0.021412678269069733,0.054518507434035676,3.7922887052843635e-11,1,7.0
0.11499999999999987,0.038156610538111,0.0217414812782972,0.054571739797924804,1.3260614828425332e-11,1,7.0
0.13499999999999984,0.03795318443951396,0.021410833365922442,0.05449553551310548,2.561417744573191e-11,1,7.0
0.15499999999999986,0.03790389723976994,0.021137752574744064,0.05467004190479581,4.356381921866159e-11,1,7.0
0.17499999999999988,0.03766920845333686,0.020828014379632265,0.05451040252704145,8.390732553209546e-11,1,7.0
0.19499999999999984,0.03744077150792346,0.02052044032033788,0.054361102695509034,2.523681263966182e-10,1,7.0
0.2149999999999998,0.03739754083996842,0.020356394106413996,0.05443868757352285,2.3290263051478632e-09,1,7.0
0.23499999999999982,0.03771639577717054,0.020761931817191506,0.05467085973714958,1.1912679398484727e-08,1,7.0
0.25499999999999984,0.03851782802569715,0.02177747811060759,0.05525817794078671,3.191264974500285e-08,1,7.0
0.2749999999999998,0.03975957667868362,0.023224421997669317,0.056294731359697925,4.2264431510119493e-08,1,7.0
0.29499999999999976,0.041364634416736254,0.02449150322865705,0.05823776560481546,3.155771022278486e-08,1,7.0
0.3149999999999998,0.043015810091572855,0.025135254166048174,0.06089636601709754,2.6760812787962607e-08,1,7.0
0.3349999999999998,0.04493149835006378,0.025907585554832902,0.06395541114529465,9.199785599989241e-09,1,7.0
0.3549999999999998,0.046763789062315986,0.02640168093072991,0.06712589719390206,6.336151381347577e-09,1,7.0
0.3749999999999997,0.04787181517323304,0.0263712675881783,0.06937236275828777,6.0014900826743656e-09,1,7.0
0.39499999999999974,0.04893266941371691,0.02624551085040932,0.07161982797702451,8.315031885253177e-09,1,7.0
0.41499999999999976,0.04935160039534297,0.026238301667106747,0.07246489912357919,7.848294236723063e-09,1,7.0
0.43499999999999966,0.04893345694974622,0.025760369449444057,0.07210654445004838,5.184646267863968e-09,1,7.0
0.4549999999999997,0.04802990061697802,0.024395988587789953,0.07166381264616609,1.7330201051990457e-08,1,7.0
0.4749999999999997,0.04670821982401071,0.023005976324319728,0.07041046332370168,1.2729572496095187e-07,1,7.0
0.4949999999999997,0.045085254887433236,0.0214891624751202,0.06868134729974627,6.189443297888175e-07,1,7.0
0.5149999999999997,0.04375440160454335,0.01984860248243951,0.06766020072664719,2.4701547262084844e-06,1,7.0
0.5349999999999996,0.042521604971848335,0.018124403395131793,0.06691880654856489,6.9351961649033456e-06,1,7.0
0.5549999999999996,0.04150297777618831,0.0167096146091486,0.06629634094322802,2.1770501880236104e-05,1,7.0
0.5749999999999996,0.04198799961002024,0.016122773742829458,0.06785322547721102,1.4716769149325515e-05,1,7.0
0.5949999999999995,0.042826087040906,0.015693172368257395,0.0699590017135546,6.922678569831753e-06,1,7.0
0.6149999999999995,0.0443135809979468,0.015075901670421086,0.07355126032547252,7.573292899021311e-06,1,7.0
0.6349999999999996,0.04621315480529312,0.014561160956049285,0.07786514865453696,1.1240929501998842e-05,1,7.0
0.6549999999999996,0.04246117478366245,0.01302062871195166,0.07190172085537325,1.6474117304654534e-05,1,7.0
0.6749999999999996,0.03878178963426846,0.011600256002367502,0.06596332326616942,1.9384731077098927e-05,1,7.0
0.6949999999999995,0.035379233264074626,0.010238910700219792,0.060519555827929464,2.3870066759190678e-05,1,7.0
0.7149999999999995,0.031550075272527026,0.008722194196949744,0.05437795634810431,3.721589394012348e-05,1,7.0
