t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.00585218463945255,0.002464789930175143,0.009239579348729956,0.0003372076363312715,1,7.0
-0.14500000000000002,0.00744408171504424,0.0033262932562253857,0.011561870173863094,0.00013613451484006944,1,7.0
-0.125,0.008947779018781299,0.004416894250051875,0.013478663787510722,2.7518565939299577e-05,1,7.0
-0.10500000000000002,0.010471921549069074,0.005536851220266156,0.015406991877871992,3.644885454900937e-06,1,7.0
-0.08500000000000003,0.011926452288159906,0.006640453137034214,0.017212451439285598,9.036978625420744e-07,1,7.0
-0.06500000000000004,0.011851156164819807,0.006916180496258293,0.01678613183338132,5.776083542574639e-07,1,7.0
-0.045000000000000054,0.01209136495124499,0.006938438987193641,0.017244290915296338,1.0176116520543843e-06,1,7.0
-0.025000000000000064,0.012821902878709256,0.006943490806956113,0.0187003149504624,6.474796921951409e-07,1,7.0
-0.005000000000000074,0.013828778257364532,0.007004319562633213,0.020653236952095852,5.0563696540884e-07,1,7.0
0.014999999999999916,0.014979737900984818,0.007096104946901129,0.022863370855068506,3.9239107241240134e-07,1,7.0
0.034999999999999906,0.01632459021367304,0.006766796427497231,0.02588238399984885,3.747883793314699e-07,1,7.0
0.054999999999999896,0.017885495699024184,0.0065753375938778676,0.0291956538041705,3.3061512272336557e-07,1,7.0
0.07499999999999989,0.01952764192034106,0.006328452850665078,0.03272683099001704,3.1445129144991313e-07,1,7.0
0.0949999999999999,0.020681787093395344,0.006452444457729391,0.034911129729061297,2.067725142218535e-07,1,7.0
0.11499999999999987,0.021303336175018308,0.006833627507392191,0.03577304484264442,1.844498377367998e-07,1,7.0
0.13499999999999984,0.02152267683209441,0.0075765994277451985,0.03546875423644362,2.446008606771244e-08,1,7.0
0.15499999999999986,0.021453616185247555,0.008473488263135124,0.034433744107359984,5.5785199792879325e-09,1,7.0
0.17499999999999988,0.020726991987961598,0.008831344926348149,0.03262263904957505,3.95955446208518e-09,1,7.0
0.19499999999999984,0.01980628756400925,0.0093259681781373,0.030286606949881202,3.11534353869547e-10,1,7.0
0.2149999999999998,0.018799648421684734,0.009871199918807413,0.027728096924562056,4.365274808293407e-11,1,7.0
0.23499999999999982,0.017845343841680357,0.010311798829567707,0.025378888853793007,1.1585510328870896e-11,1,7.0
0.25499999999999984,0.01693237725473871,0.00990988690293149,0.023954867606545933,1.2733913923312912e-10,1,7.0
0.2749999999999998,0.016054932329424818,0.009463360172610284,0.022646504486239352,9.856025995347295e-10,1,7.0
0.29499999999999976,0.015140210138867991,0.008517718005849825,0.021762702271886158,1.2406490390581837e-08,1,7.0
0.3149999999999998,0.013854011323331325,0.007332376569778823,0.020375646076883826,3.006824784712592e-07,1,7.0
0.3349999999999998,0.01300385183234189,0.006544780354723916,0.019462923309959863,2.116304524069079e-06,1,7.0
0.3549999999999998,0.012087782632971637,0.005917978745854308,0.018257586520088964,1.7882083366060897e-05,1,7.0
0.3749999999999997,0.010872297085709245,0.0050342723335216775,0.01671032183789681,0.00042095095070671107,1,7.0
0.39499999999999974,0.009643752832484753,0.0044012406820316645,0.014886264982937842,0.005324143220428068,1,7.0
0.41499999999999976,0.008992094850866559,0.004069723819707199,0.013914465882025918,0.010273788054345423,1,7.0
0.43499999999999966,0.008444107579318736,0.0037941271821284256,0.013094087976509048,0.029882545715706477,1,7.0
0.4549999999999997,0.007981330992556336,0.00392572212185831,0.01203693986325436,0.04632906046502239,1,7.0
0.4749999999999997,0.007880154954873042,0.004361373347540131,0.011398936562205954,0.01765145332399809,1,7.0
0.4949999999999997,0.007579999304531257,0.004607970187988909,0.010552028421073605,0.0116471968258971,1,7.0
0.5149999999999997,0.007593354599401038,0.004852352877166046,0.01033435632163603,0.007757066750223474,1,7.0
0.5349999999999996,0.007740480038584308,0.005033776129301365,0.01044718394786725,0.004106630887902418,1,7.0
0.5549999999999996,0.007877192262812036,0.00507248707222871,0.010681897453395362,0.0050204382076242116,1,7.0
0.5749999999999996,0.007981762159239231,0.005192242267336757,0.010771282051141706,0.0034429242840596785,1,7.0
0.5949999999999995,0.008270690669147037,0.005255489572482641,0.011285891765811434,0.0023944418585907234,1,7.0
0.6149999999999995,0.008591041279748952,0.005219821661710304,0.0119622608977876,0.0024375105558269716,1,7.0
0.6349999999999996,0.008862499231899908,0.005131545664405697,0.01259345279939412,0.0019332000838301333,1,7.0
0.6549999999999996,0.009385546202594458,0.005524143476552083,0.013246948928636834,0.0005100699243950624,1,7.0
0.6749999999999996,0.008360414914621996,0.005044046404479963,0.011676783424764029,0.000226709053819385,1,7.0
0.6949999999999995,0.007350366149386721,0.0044773731131226326,0.01022335918565081,0.00014554752910400648,1,7.0
0.7149999999999995,0.006299825797980147,0.0038180821381886072,0.008781569457771686,9.528334187869358e-05,1,7.0
