t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.0006058682226600701,0.0003132416281228257,0.0008984948171973146,0.5292819759220199,0,7.0
-0.14500000000000002,0.0007676714697372855,0.00039572597967541825,0.0011396169597991527,0.4904255904196835,0,7.0
-0.125,0.0009109016298296628,0.0005143586936210002,0.0013074445660383254,0.4140100285435404,0,7.0
-0.10500000000000002,0.00102434325777292,0.0006168031834438663,0.0014318833321019736,0.4614839796004291,0,7.0
-0.08500000000000003,0.0011605338045191324,0.0007391512050680638,0.0015819164039702009,0.5000192535979908,0,7.0
-0.06500000000000004,0.001100889566536101,0.0006759164745900275,0.0015258626584821748,0.6024694602104921,0,7.0
-0.045000000000000054,0.0010712191961379954,0.000674203307999709,0.0014682350842762817,0.6214248179792226,0,7.0
-0.025000000000000064,0.0011136954370298533,0.0006643572406564782,0.0015630336334032284,0.564014754294218,0,7.0
-0.005000000000000074,0.0010211273844349153,0.0005607063865663411,0.0014815483823034893,0.7180518588164917,0,7.0
0.014999999999999916,0.0009526195159752568,0.0005198005514441053,0.0013854384805064082,0.7902695436111864,0,7.0
0.034999999999999906,0.0009095820082013739,0.0005320505165187898,0.001287113499883958,0.8209823407482066,0,7.0
0.054999999999999896,0.0008958009387656082,0.0005766008251828481,0.0012150010523483683,0.8511414202857261,0,7.0
0.07499999999999989,0.0009489663782671078,0.0006730981614078905,0.0012248345951263251,0.8224630192356982,0,7.0
0.0949999999999999,0.001043424475564471,0.0007107339758234566,0.0013761149753054856,0.8254665233691856,0,7.0
0.11499999999999987,0.0013698182307600832,0.0007745360015998336,0.0019651004599203327,0.7130787726357151,0,7.0
0.13499999999999984,0.001675633663747579,0.0008620952309861456,0.002489172096509012,0.6602219178691893,0,7.0
0.15499999999999986,0.0021597318950774135,0.0009827546267001655,0.0033367091634546615,0.5661664515636603,0,7.0
0.17499999999999988,0.0027634238902335814,0.0011583254284409225,0.00436852235202624,0.42803420678899706,0,7.0
0.19499999999999984,0.0035187656671114265,0.001507993242447664,0.005529538091775189,0.18949391124662673,0,7.0
0.2149999999999998,0.00423577681609119,0.001984281317070953,0.006487272315111428,0.05137284980948442,0,7.0
0.23499999999999982,0.0048511096496798994,0.0022827785492335957,0.007419440750126204,0.013831020445192355,1,7.0
0.25499999999999984,0.0052657438785157955,0.0024279666123809855,0.008103521144650606,0.005228548036881886,1,7.0
0.2749999999999998,0.005353515395478256,0.002356340485239891,0.00835069030571662,0.004086444320083871,1,7.0
0.29499999999999976,0.005439412482202797,0.00240009557012313,0.008478729394282465,0.0014721920101143926,1,7.0
0.3149999999999998,0.005378343704061079,0.002340102820406388,0.00841658458771577,0.0005735430821071086,1,7.0
0.3349999999999998,0.0051150730469125055,0.002053180542856314,0.008176965550968697,0.0006635883070376103,1,7.0
0.3549999999999998,0.0045930463558907135,0.0014744620028953204,0.007711630708886107,0.002962757737394739,1,7.0
0.3749999999999997,0.003997541990032241,0.0009318148994337861,0.007063269080630697,0.017122150407960834,1,7.0
0.39499999999999974,0.0033975814654525127,0.0007066558100529037,0.006088507120852122,0.03892722430266715,0,7.0
0.41499999999999976,0.0029923904890939786,0.0005812824915063285,0.005403498486681629,0.05217000593632637,0,7.0
0.43499999999999966,0.0027353359691556127,0.000514515981011729,0.004956155957299497,0.05609600752051691,0,7.0
0.4549999999999997,0.0025073910478294837,0.0005116734618187254,0.004503108633840242,0.06331647783527838,0,7.0
0.4749999999999997,0.002246768497747096,0.0005417229414179916,0.0039518140540762,0.11135498660414456,0,7.0
0.4949999999999997,0.001995219266525066,0.00042995395609667737,0.0035604845769534542,0.1702933895010622,0,7.0
0.5149999999999997,0.0018696680133498376,0.0004016732754076567,0.0033376627512920185,0.26808131819283276,0,7.0
0.5349999999999996,0.0017862916324374368,0.00039911458657934857,0.0031734686782955253,0.29500304909074526,0,7.0
0.5549999999999996,0.0016824649383581727,0.0004306775991567162,0.002934252277559629,0.31500894527283596,0,7.0
0.5749999999999996,0.0014845923999210497,0.00041334335893512147,0.002555841440906978,0.5120318483612825,0,7.0
0.5949999999999995,0.001278393045231684,0.0004525201252226388,0.002104265965240729,0.6258309990610447,0,7.0
0.6149999999999995,0.0010536794195810978,0.0004710741485381423,0.0016362846906240532,0.7844952067902564,0,7.0
0.6349999999999996,0.0009410990741218537,0.0005202337071738115,0.0013619644410698957,0.8091562441405444,0,7.0
0.6549999999999996,0.0009150747552658024,0.0005049926682602814,0.0013251568422713233,0.830504958047548,0,7.0
0.6749999999999996,0.0007071182702664844,0.0003711426003675867,0.001043093940165382,0.9106556711069127,0,7.0
0.6949999999999995,0.0005693273095501016,0.00026751521275781377,0.0008711394063423894,0.9294383075071759,0,7.0
0.7149999999999995,0.00046842570837267287,0.000174161181993697,0.0007626902347516488,0.9439618286682948,0,7.0
