t,mu,lo,hi,p_stouffer,sig_fdr,n_sessions
-0.16499999999999998,0.000679764261434655,0.00033992604225392475,0.0010196024806153853,0.5230411904496046,0,12.0
-0.14500000000000002,0.0008609315163384221,0.0004700253281124664,0.0012518377045643778,0.43922103495358034,0,12.0
-0.125,0.0010315051421236352,0.0006295158405722106,0.0014334944436750598,0.33070169064581567,0,12.0
-0.10500000000000002,0.0012403774643075245,0.0008140902335105468,0.0016666646951045022,0.25277713393217427,0,12.0
-0.08500000000000003,0.0014068270908173385,0.0009347600990089781,0.001878894082625699,0.2752375142003062,0,12.0
-0.06500000000000004,0.001458932373241843,0.0009953054305029863,0.0019225593159806998,0.16430992655190013,0,12.0
-0.045000000000000054,0.0014491518644770343,0.0010285791587525963,0.0018697245702014723,0.13188437406600118,0,12.0
-0.025000000000000064,0.0014699605445471582,0.001026805124240796,0.0019131159648535204,0.14059974945026088,0,12.0
-0.005000000000000074,0.0016002542730155173,0.0010486838595084099,0.0021518246865226244,0.11988449757111252,0,12.0
0.014999999999999916,0.0017860532916720029,0.0011107605802656555,0.00246134600307835,0.13087438478656277,0,12.0
0.034999999999999906,0.0020658785832311124,0.001268027407918142,0.0028637297585440828,0.09118454720683156,0,12.0
0.054999999999999896,0.002453533686685695,0.0013788401273683592,0.0035282272460030314,0.11148467934485207,0,12.0
0.07499999999999989,0.0032526278637587803,0.0015696469400720051,0.004935608787445556,0.08891800380333303,0,12.0
0.0949999999999999,0.004664650832112638,0.0020585247473213068,0.007270776916903969,0.030087154775009894,1,12.0
0.11499999999999987,0.006529186095350951,0.0027255836686029206,0.010332788522098981,0.016149693505012053,1,12.0
0.13499999999999984,0.008657201541164785,0.003712604672215637,0.013601798410113932,0.006968693647369073,1,12.0
0.15499999999999986,0.01080169923707588,0.0046023309564689535,0.017001067517682805,0.0061321685077169175,1,12.0
0.17499999999999988,0.012811333751683298,0.005466422009049851,0.020156245494316747,0.004146821196472361,1,12.0
0.19499999999999984,0.014799694935849567,0.006610181584053198,0.022989208287645935,0.001405276078910167,1,12.0
0.2149999999999998,0.016029601466036617,0.007440138648304936,0.024619064283768297,0.0014692404895743083,1,12.0
0.23499999999999982,0.016501300874765274,0.007890858308748193,0.025111743440782354,0.0011750704122948097,1,12.0
0.25499999999999984,0.01605459988850625,0.007972536152414942,0.024136663624597557,0.0013169598349789258,1,12.0
0.2749999999999998,0.014844477513261858,0.007743182205791955,0.021945772820731763,0.0022242303191415402,1,12.0
0.29499999999999976,0.013001454927584406,0.006981224915972764,0.019021684939196048,0.003372771832322763,1,12.0
0.3149999999999998,0.010860803971614265,0.006146950625496596,0.015574657317731933,0.0041921770873735165,1,12.0
0.3349999999999998,0.008766539598509775,0.005273702623656092,0.012259376573363458,0.0046414290280598625,1,12.0
0.3549999999999998,0.0065743861457619795,0.0041237984201973185,0.009024973871326641,0.014015367834293246,1,12.0
0.3749999999999997,0.004903250249407181,0.0031442319245113346,0.006662268574303028,0.028962213124854808,1,12.0
0.39499999999999974,0.0035533472905738372,0.0023279102877669937,0.00477878429338068,0.06242419056690163,0,12.0
0.41499999999999976,0.0025094392029034952,0.0016610585952961743,0.003357819810510816,0.17165123324076648,0,12.0
0.43499999999999966,0.0018574543920902497,0.00128968636831895,0.0024252224158615495,0.35677142913542814,0,12.0
0.4549999999999997,0.0015302963204054838,0.001081312136405772,0.001979280504405196,0.5244949209280312,0,12.0
0.4749999999999997,0.0013798722093429818,0.0009772935905052757,0.001782450828180688,0.6078079050799725,0,12.0
0.4949999999999997,0.0013069385313371916,0.0008169739661286362,0.001796903096545747,0.7111324881908698,0,12.0
0.5149999999999997,0.0012530569496118664,0.0006513521029667776,0.0018547617962569552,0.8603519331639029,0,12.0
0.5349999999999996,0.0013402138663621808,0.0005949396505821711,0.0020854880821421905,0.8074337862189942,0,12.0
0.5549999999999996,0.0014910851749436844,0.0006052999930161006,0.0023768703568712683,0.612811065350432,0,12.0
0.5749999999999996,0.00170835901573042,0.0006697512672497611,0.002746966764211079,0.35023546839506803,0,12.0
0.5949999999999995,0.0019453362251147814,0.0007608598611544501,0.0031298125890751125,0.15549413238099363,0,12.0
0.6149999999999995,0.002144284992448516,0.0008217081661968755,0.003466861818700156,0.09312255046060924,0,12.0
0.6349999999999996,0.0022953695396284945,0.0009606933600776763,0.0036300457191793126,0.03434544135666451,1,12.0
0.6549999999999996,0.0023890722517266668,0.001108110773749347,0.0036700337297039865,0.008811468333078998,1,12.0
0.6749999999999996,0.0021963471846892014,0.0010341638888327796,0.0033585304805456235,0.004565324912870872,1,12.0
0.6949999999999995,0.0019538922084681616,0.0009424540532438424,0.002965330363692481,0.0027339237359574886,1,12.0
0.7149999999999995,0.0017156806464084455,0.0008438970861601702,0.0025874642066567206,0.0019324290347035866,1,12.0
